"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"633797941","Trump National Doral Miami, the country's most spectacular golf resort.",7450,69130,3617,1820,"https://t.co/R0psYt32oL","Trump National Doral",2012-07-12 14:52:57,FALSE,TRUE,"TrumpDoral","Miami, Florida","en","633797941",434,FALSE,"http://pbs.twimg.com/profile_images/700416765310840832/JyXr0k1e_normal.jpg"
"726414091","The Official Twitter page of Trump National Golf Club Charlotte. A fully-private golf course and clubhouse with incredible views of Lake Norman.",1483,50987,2123,102,"https://t.co/mOvNNHagpF","Trump Charlotte",2012-07-30 16:45:19,FALSE,TRUE,"TrumpCharlotte","Charlotte, NC","en","726414091",254,FALSE,"http://pbs.twimg.com/profile_images/912400159400693761/SPqmGkxV_normal.jpg"
"82504071","The next generation of luxury hotel in Las Vegas.",4388,111382,887,1265,"http://t.co/30YWwzTG3b","Trump Vegas Hotel",2009-10-15 01:07:17,FALSE,TRUE,"TrumpLasVegas","Las Vegas ","en","82504071",1342,FALSE,"http://pbs.twimg.com/profile_images/694317826576748544/4I1x-_u7_normal.jpg"
"48223726","Your time away is precious. Never settle.",7608,78887,4077,3582,"https://t.co/KxJ9AbAoSh","Trump Hotel Chicago",2009-06-18 03:07:26,FALSE,TRUE,"TrumpChicago","Chicago, IL","en","48223726",896,FALSE,"http://pbs.twimg.com/profile_images/692016883030106112/8yvgOoQ8_normal.jpg"
"1013672084","The official Twitter page of Trump National Golf Club Washington D.C. Private Country Club with two Championship-style courses located along the Potomac River.",556,72297,100,55,"https://t.co/grruIFcHAR","Trump Washington DC",2012-12-15 18:03:09,FALSE,TRUE,"TrumpGolfDC","Sterling, VA","en","1013672084",341,FALSE,"http://pbs.twimg.com/profile_images/912423514153635840/UPgnkmFh_normal.jpg"
"29562422","The official Twitter page of Trump National Golf Club Los Angeles. World-class golf, dining, weddings, banquets & spectacular views of the Pacific Ocean.",1432,60679,521,147,"https://t.co/w6uOu8F1Vf","Trump Los Angeles",2009-04-07 22:21:34,FALSE,TRUE,"TrumpGolfLA","Los Angeles, CA","en","29562422",327,FALSE,"http://pbs.twimg.com/profile_images/912427099889299457/DEExm67W_normal.jpg"
"39349894","Executive Vice President of The @Trump Organization. Husband to @LaraLeaTrump. Large advocate of @StJude Children's Research Hospital. #MakeAmericaGreatAgain",5317,1812402,7363,608,"https://t.co/uwwNiWPLLr","Eric Trump",2009-05-11 21:42:30,FALSE,TRUE,"EricTrump","","en","39349894",5228,FALSE,"http://pbs.twimg.com/profile_images/756508063595696128/G6WbhrZB_normal.jpg"
"23970102","Watch my daily @NoSpinNews analysis on https://t.co/MrYUtLQiwX. #1 in cable news for 15+ years. America’s bestselling historian. Loving father.",11924,2620347,107,45,"https://t.co/ZBAQAO8qCE","Bill O'Reilly",2009-03-12 15:44:18,FALSE,TRUE,"BillOReilly","","en","23970102",11628,FALSE,"http://pbs.twimg.com/profile_images/610858014560661504/z9muezEN_normal.jpg"
"16031927","Author of book:”Everything You Need to Know about Social Media” Retweets are just retweets;",129003,1213151,11651,2106,"https://t.co/JgAi8k0UT1","Greta Van Susteren",2008-08-28 20:04:54,FALSE,TRUE,"greta","Washington","en","16031927",9301,FALSE,"http://pbs.twimg.com/profile_images/793843822065246208/aoQehI29_normal.jpg"
"216299334","'One day you're the cock of the walk, the next a feather duster.'",111733,6375232,9,1635,"https://t.co/TH9Sq5e5X5","Piers Morgan",2010-11-16 09:37:44,FALSE,TRUE,"piersmorgan","London, Newick, LA.","en","216299334",18993,FALSE,"http://pbs.twimg.com/profile_images/957350508930457603/OicHBLXF_normal.jpg"
"39344374","EVP of Development & Acquisitions The @Trump Organization, Father, Husband, Outdoorsman, In a past life Boardroom Advisor on The Apprentice",21439,2566165,8073,1214,"https://t.co/2qPo57KgoO","Donald Trump Jr.",2009-05-11 21:18:33,FALSE,TRUE,"DonaldJTrumpJr","","en","39344374",8675,FALSE,"http://pbs.twimg.com/profile_images/766652495858896897/LjrJJB9a_normal.jpg"
"52544275","Wife, mother, sister, daughter. Advisor to POTUS on job creation + economic empowerment, workforce development & entrepreneurship. Personal Pg. Views are my own",13997,5353360,1200,1109,NA,"Ivanka Trump",2009-06-30 22:32:03,FALSE,TRUE,"IvankaTrump","Washington, DC","en","52544275",19512,FALSE,"http://pbs.twimg.com/profile_images/882351803441987585/HWNkH-EK_normal.jpg"
